Gene name	Chromosome/scaffold name	Karyotype band	Gene start (bp)	Gene end (bp)
RN7SKP128	9	q33.1	117197118	117197420
RNU6-1117P	2	p22.3	35471605	35471708
RF00340	2	p23.3	27642043	27642169
RF00017	16	q12.1	48432927	48433208
RNU2-17P	1	q21.2	150236967	150237156
RNU6-1197P	8	q21.11	74079537	74079643
RNU6-338P	22	q12.2	31388733	31388837
RN7SL672P	20	q13.13	50557682	50557998
SNORD9	14	q11.2	21392150	21392253
RPPH1	14	q11.2	20343075	20343407
RF00573	11	p11.2	46758766	46758873
RF00019	1	p35.2	32286452	32286561
RNU6-641P	X	p21.1	36021939	36022045
RF00398	22	q11.21	19249873	19249966
MIR5680	8	q22.3	102125432	102125515
SNORA16A	1	p35.3	28580920	28581054
RNU7-8P	1	p31.1	77420325	77420386
RNU6-337P	7	q21.11	79030240	79030345
RF00066	3	q12.1	98987387	98987449
RN7SL468P	2	q14.2	119169822	119170115
MIR6134	X	p21.3	28495555	28495663
RNU7-115P	17	q24.1	64825765	64825819
RNU6-630P	X	p11.4	42139425	42139530
RF01883	22	q12.2	30971296	30971382
MIR6842	8	p21.2	27433370	27433434
SNORD38A	1	p34.1	44777843	44777912
MIR2278	9	q22.32	94809962	94810057
RNU6-821P	CHR_HSCHR3_9_CTG3		198071311	198071417
RNA5SP493	22	q11.22	21792434	21792524
RNU6-686P	15	q22.31	65229861	65229967
RNU6-253P	6	q22.1	117457734	117457838
RNA5SP218	6	q23.2	134257035	134257143
RF00272	6	p24.1	11709819	11709960
RNU6-177P	7	q32.1	128627172	128627275
RNU4-73P	2	p25.1	9740643	9740783
RN7SL447P	3	q29	193740471	193740715
RNA5SP107	2	q24.1	154590407	154590528
SNORA21	17	q12	38852863	38852994
RN7SL607P	20	p11.23	20738433	20738731
RN7SL328P	9	q34.13	131725168	131725467
RNY1P5	13	q22.1	74289100	74289214
RN7SL332P	6	p23	15112968	15113221
RNU6-1111P	15	q26.1	89886485	89886591
MIR371A	19	q13.42	53787675	53787741
RNU6-92P	7	q33	133082829	133082932
RF02218	6	p22.1	30035916	30035983
RF01972	KI270721.1		51722	51792
MIR3131	2	q35	219058688	219058750
MIR1301	2	p23.3	25328640	25328721
RN7SL138P	17	q11.2	30959564	30959850
RF00275	12	q24.21	115852648	115852718
RF00026	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1		54868050	54868156
RNU6-1293P	9	q13	64880369	64880475
MIR671	7	q36.1	151238421	151238538
MIR3064	17	q23.3	64500774	64500839
MIR6511A4	16	p12.3	18344013	18344079
RF01518	GL000220.1		105287	105376
MIR591	7	q21.3	96219662	96219756
AC003070.6	CHR_HSCHR17_1_CTG5		45327366	45327497
RF00012	6	q16.1	92790453	92790665
MIR4317	18	p11.31	6374361	6374425
RF00072	16	p12.2	23441841	23441921
RNU6-23P	16	q22.1	70445293	70445399
RF02250	2	p21	44937426	44937696
MIR758	14	q32.31	101026020	101026107
RN7SL79P	17	q11.2	31465543	31465832
RNU4-9P	13	q12.11	21038529	21038667
RNU6-900P	22	q13.1	37891347	37891448
MIR4641	6	p21.1	41598723	41598788
RN7SL326P	1	p34.2	40804846	40805141
RN7SL748P	6	p21.31	36522191	36522501
MIR208B	14	q11.2	23417987	23418063
RN7SL711P	5	q23.2	123070782	123071080
MIR411	14	q32.31	101023325	101023420
RF00016	2	p23.3	24969388	24969477
SNORD3E	X	q13.1	70846079	70846295
MIR548H1	14	q23.2	64095024	64095125
RNU1-74P	1	q42.2	232832017	232832187
MIR3166	11	q14.2	88176502	88176593
RN7SL319P	15	q24.2	75785134	75785354
SNORD71	16	q22.2	71758402	71758487
MIR133A2	20	q13.33	62564912	62565013
MIR5697	1	p36.22	9967381	9967458
RNU6-978P	15	q11.1	19883614	19883716
RNA5SP426	16	q12.1	50869455	50869575
RNU6-120P	18	q11.1	21120404	21120506
MIR548E	10	q25.2	110988926	110989013
RF00019	CHR_HSCHR15_3_CTG8		44697333	44697430
RNU6-32P	4	p14	39297605	39297711
MIR153-1	2	q35	219294111	219294200
RNU6-363P	5	p13.3	31595565	31595669
RNU6-918P	9	q22.33	98032230	98032335
GPX6	CHR_HSCHR6_MHC_COX_CTG1		28510773	28515743
RNU6-389P	7	p11.2	55685977	55686081
MIR4302	12	p12.1	25874020	25874079
MIR4678	10	q23.2	87503881	87503954
MIR520D	19	q13.42	53720096	53720182
RF00421	8	q24.12	119388348	119388469
RNU6-596P	8	q12.1	57289552	57289649
RNA5SP434	17	p13.2	4056756	4056876
RNA5S17	1	q42.13	228646040	228646158
RNU6-53P	13	q12.3	28703702	28703807
RNA5SP260	8	p12	29048494	29048604
AC003070.7	17	q21.31	45327366	45327497
RF00019	1	p21.3	95125511	95125609
MIR1537	1	q42.3	235853000	235853060
RNU5A-6P	18	q11.2	24124170	24124285
MIR6779	17	q12	38914979	38915042
MIR761	1	p32.3	51836344	51836402
SNORD18C	15	q22.31	66501250	66501318
RNU6-271P	10	q24.1	96112747	96112851
RN7SL19P	8	q13.3	70654578	70654883
MIR4724	17	q11.2	31534883	31534971
MIR137	1	p21.3	98046070	98046171
RN7SKP122	5	q21.3	107810629	107810924
RNU7-55P	8	p23.1	9072455	9072516
RNU6-1031P	1	p31.3	67541127	67541233
RF01182	15	q21.1	46351662	46351746
MIR6511A2	16	p13.11	16324588	16324654
RN7SKP31	X	q26.3	138397351	138397628
RF00012	6	q15	92119423	92119633
MIR5581	1	p34.3	37500935	37500994
RN7SL416P	7	q22.1	100530362	100530659
RNU6-25P	3	q29	195214787	195214893
MIR484	16	p13.11	15643294	15643372
RF00019	20	p12.3	5113993	5114083
SNORD1B	17	q25.1	76561109	76561192
RF00019	CHR_HSCHR14_7_CTG1		93397139	93397234
SNORA18	11	q21	93733466	93733597
RN7SKP87	9	q31.1	100581079	100581379
RNU6-664P	2	q33.3	207680533	207680639
RF00003	CHR_HSCHR6_MHC_MANN_CTG1		32549943	32550090
RNU6-719P	7	p14.1	39768341	39768444
SNORA74A	5	q31.2	139278781	139278978
RNA5SP383	14	q12	24158603	24158722
RF00017	11	q14.2	86216596	86216878
RF00019	10	q26.13	124766196	124766297
RF00157	11	q22.3	109263494	109263564
RN7SL569P	7	q36.1	148890226	148890513
RNU6-889P	10	p15.3	2098167	2098269
RN7SL689P	5	q23.2	123022487	123022783
RNU6-660P	5	p15.1	16941843	16941951
RNU6-1072P	1	p36.21	12922554	12922660
RNA5SP331	11	p15.2	13907484	13907590
RF00017	1	p34.3	37953508	37953780
RN7SL208P	5	q13.3	76836900	76837195
MIR6500	1	p32.3	51060018	51060103
RN7SL333P	1	q24.2	169859756	169860052
RF02271	2	p23.2	28134408	28134585
RNA5SP374	12	q24.23	118829681	118829805
RF00019	22	q12.2	31230071	31230172
RNA5SP144	3	q24	144186905	144187020
RN7SL87P	5	q31.3	144140879	144141166
RF00019	CHR_HSCHR6_MHC_SSTO_CTG1		31654037	31654150
RNU6-322P	15	q26.3	100551820	100551922
RF00017	17	q21.31	45931806	45932083
RN7SL524P	10	q24.33	103974515	103974814
RN7SL35P	7	q21.11	80318253	80318544
SNORD114-20	14	q32.31	100981004	100981075
RF00019	1	q21.2	148330271	148330394
RNU6-1132P	2	q21.2	132152243	132152349
RNU7-200P	1	p36.12	20841241	20841302
RF00019	12	q14.2	62935701	62935802
RNA5SP41	1	p36.21	13623184	13623284
MIR890	X	q27.3	145994275	145994351
RNU6-79P	13	q22.1	72881108	72881214
RF00019	17	q23.2	60748940	60749046
RNU6-1284P	3	q22.3	136430084	136430183
MIR6849	8	q24.3	144400277	144400345
SNORA12	10	q24.31	100237156	100237302
RN7SKP53	11	q22.1	99120176	99120490
SNORD116-27	15	q11.2	25101575	25101666
RF02188	7	q31.2	116954983	116955154
RF00134	2	q33.3	206161841	206161929
SNORD17	20	p11.23	17962710	17962946
RF00322	10	p13	16005808	16005923
RN7SL72P	7	q36.1	148438309	148438577
MIR6836	7	p22.3	2257515	2257577
RF00156	3	q13.13	108574565	108574698
RNU7-81P	2	p16.1	54850289	54850352
RNA5SP153	4	p16.1	9411178	9411253
RF00554	2	q36.3	226968989	226969122
SNORA50B	22	q12.3	33704786	33704920
MIR578	4	q32.3	165386242	165386337
RF00017	8	q13.3	69851148	69851436
RNU1-35P	8	q24.23	135742343	135742495
GP6	CHR_HSCHR19LRC_LRC_S_CTG3_1		55021410	55045969
RNU6-713P	12	q12	40554161	40554267
RNU6-662P	1	q21.3	151747597	151747700
MIR508	X	q27.3	147236913	147237027
MIR4274	4	p16.1	7460028	7460118
RF00425	5	q14.1	79220942	79221073
RN7SKP9	13	q32.3	99205708	99206006
RNU6-1192P	17	q12	36404826	36404932
RNU2-40P	4	q13.2	65807240	65807435
RF02089	3	q25.1	151079506	151079584
RF00019	16	q22.1	69191123	69191223
MIR223	X	q12	66018870	66018979
RNU6-618P	12	p11.21	31396390	31396501
RNU6-49P	X	p11.4	37870109	37870215
MIR922	3	q29	197674496	197674576
RF00019	12	q24.33	133238455	133238549
RF00019	X	q13.1	72284945	72285045
RF00263	13	q21.33	72460519	72460601
RNU6-741P	15	q11.2	23777437	23777543
MIR548AB	3	q13.11	103524033	103524116
RNU6-262P	11	q23.3	119289562	119289677
SNORD8	14	q11.2	21397292	21397401
RN7SL411P	3	p22.1	40209005	40209304
RNU6-744P	2	q14.1	113681111	113681217
RNU7-10P	3	p24.3	17664963	17665025
SNORD36B	CHR_HG2030_PATCH		133350243	133350316
RNU6-774P	4	q21.23	84233657	84233763
RNU7-12P	10	p12.1	27232255	27232316
MIR24-1	9	q22.32	95086021	95086088
RNU6ATAC37P	2	p25.1	7576841	7576971
RF00156	17	q11.2	28022330	28022464
SNORD37	19	p13.3	3982507	3982572
MIR7112	8	q24.3	144262673	144262737
RNU4-55P	11	q22.3	105824634	105824770
RF02220	CHR_HSCHR6_MHC_MANN_CTG1		30056241	30056344
MIR5702	2	q36.3	226658710	226658793
RNU6-1278P	18	q21.1	46121615	46121721
MIR548AJ1	6	q23.2	132115192	132115263
MIR5696	2	q11.2	101309450	101309534
RF00019	18	q11.2	24429505	24429609
RF00012	1	p13.1	116278606	116278821
RF02090	13	q33.2	105459815	105460015
MIR516B2	19	q13.42	53725442	53725526
MIR7159	6	p21.31	33899135	33899200
RF00285	21	q22.3	44439035	44439110
RF00019	2	q22.1	140992543	140992659
MIR5088	19	q13.33	49682117	49682195
MIR1298	X	q23	114715233	114715344
MIR105-2	X	q28	152394412	152394492
MIR505	X	q27.1	139924148	139924231
MIR3618	22	q11.21	20085746	20085833
MIR3937	X	p11.4	39661216	39661321
RF00003	1	q21.1	145169519	145169664
RF00322	4	q24	105105987	105106094
MIR4265	2	q13	109141490	109141588
RNU6-1131P	18	q21.1	47234442	47234548
MIR4315-2	17	q24.1	64822030	64822102
MIR601	9	q33.3	123402525	123402603
RN7SL665P	9	q34.11	130400266	130400565
MIR513A2	X	q27.3	147225826	147225952
MIR4657	7	p13	44881748	44881800
MIR1302-11	19	p13.3	71973	72110
RF00026	CHR_HSCHR6_MHC_COX_CTG1		31360589	31360695
RNA5SP159	4	p14	39936753	39936855
MIR6851	9	p13.3	33467869	33467935
MIR892A	X	q27.3	145996669	145996743
RNU1-96P	3	p24.1	27513871	27514032
MIR548N	7	p14.2	34940760	34940834
MIR7854	16	q23.2	81533902	81533966
MIR187	18	q12.2	35904818	35904926
RN7SKP208	2	p16.1	55951654	55952014
MIR3186	17	q25.3	81451104	81451188
MIR6771	16	q12.1	50292616	50292675
SCARNA4	1	q22	155925958	155926085
MIR4285	7	q22.1	102293103	102293187
RNU6-712P	3	p11.1	90184634	90184733
RNA5SP481	20	q11.21	32008351	32008472
MIR449A	5	q11.2	55170532	55170622
MIR3168	13	q14.11	41101019	41101100
SNORD105B	19	p13.2	10109757	10109835
MIR548H4	8	p21.2	27048853	27048963
MIR3913-2	12	q15	69584723	69584822
RN7SKP85	8	q22.2	98921233	98921550
MIR6131	5	p15.2	10478037	10478145
RNY1P10	16	p12.1	28183318	28183430
RNU6-312P	2	q33.1	200881715	200881821
RNA5SP285	9	q21.13	72299720	72299838
SNORD68	16	q24.3	89561434	89561517
MIR5091	4	p15.33	13627865	13627957
MIR569	3	q26.2	171106664	171106759
MIR6511B2	16	p13.11	15134075	15134145
RNU1-84P	11	q13.2	66393449	66393612
MIR3688-2	4	q32.1	159128805	159128891
MIR5691	11	p15.4	9090312	9090379
RNVU1-3	1	q21.2	148402715	148402875
MIR5739	22	q12.1	28459869	28459948
RNU6-131P	17	q21.31	44135883	44135989
SNORD114-10	14	q32.31	100967052	100967123
MIR623	13	q32.3	99356131	99356228
MIR4798	4	p16.1	7310450	7310524
RNA5SP346	11	q21	96474572	96474692
MIR210	11	p15.5	568089	568198
AC012314.25	CHR_HSCHR19LRC_LRC_S_CTG3_1		54107066	54115801
RF02148	7	q32.2	130487483	130487622
AC012314.37	CHR_HSCHR19LRC_LRC_S_CTG3_1		54201473	54208260
RNU4-72P	6	q14.3	85751581	85751753
MIR570	3	q29	195699401	195699497
MIR200C	12	p13.31	6963699	6963766
RNU1-97P	Y	q11.223	23740942	23741105
RN7SL309P	11	q13.1	65695552	65695837
RF00017	11	p15.1	18538885	18539189
MIRLET7E	19	q13.41	51692786	51692864
MIR4758	20	q13.33	62332487	62332557
MIR483	11	p15.5	2134134	2134209
MIR4682	10	q26.12	119958513	119958592
RNU6-449P	15	q21.3	53764204	53764310
RNU6-737P	18	q21.31	57284602	57284708
MIR1231	1	q32.1	201808611	201808702
RNU6-1317P	3	q26.31	175767558	175767661
MIR6890	3	p21.31	49099854	49099914
RNA5SP489	21	q21.2	25202207	25202315
MIR4524A	17	q24.2	69099564	69099632
RN7SL833P	19	p13.2	11516047	11516330
RNU7-151P	4	q24	102837047	102837099
MIR196A1	17	q21.32	48632490	48632559
RNA5SP170	4	q32.3	166053187	166053287
MIR1285-2	2	p13.3	70252918	70253005
RNU6-701P	5	q23.1	119138859	119138965
RN7SL225P	11	q14.2	86324012	86324309
MIR8065	16	p13.3	5632467	5632566
SNORD114-26	14	q32.31	100987046	100987117
AC137499.2	22	q11.1	16486985	16488322
RNU6-1304P	1	q42.12	225741275	225741380
MIR4262	2	p25.1	11836933	11836986
RNU6-1149P	21	q22.3	42417497	42417593
MIR3670-1	16	p13.11	14907717	14907781
RF00017	20	p12.3	8998849	8999100
MIR4508	15	q11.2	23562062	23562131
RF00019	1	q25.1	173808489	173808622
RNU6-759P	20	q11.22	35647328	35647430
MIR543	14	q32.31	101031987	101032064
RN7SKP117	CHR_HSCHR5_4_CTG1_1		125350868	125351131
MIR518A1	19	q13.42	53731006	53731090
RNU6-269P	16	q21	58378052	58378148
RN7SL172P	3	q13.33	121653994	121654296
RF00410	6	q25.1	149594625	149594759
RF00280	14	q32.33	103797272	103797348
RNA5SP336	11	p15.1	21000881	21000997
RF00019	6	q22.33	128761717	128761808
MIR320C2	18	q11.2	24321686	24321735
RF00017	X	q21.33	97081674	97081956
MIR4693	11	q22.3	103849906	103849980
MIR1297	13	q14.3	54311972	54312048
RN7SL273P	6	p21.2	37361185	37361483
RF00152	4	q35.1	184431966	184432049
RF00601	17	q11.2	28018770	28018907
RF00019	3	p14.1	66003839	66003940
MIR4482	10	q25.1	104268336	104268405
MIR6761	12	q24.12	111799834	111799905
RF00402	14	q21.3	46960423	46960546
RNA5SP318	10	q21.1	53458197	53458288
MIR548C	12	q14.2	64622509	64622605
RNU6-613P	2	q36.3	229894346	229894453
SNORA48B	X	p22.33	3532117	3532251
SNORA38	CHR_HSCHR6_MHC_MCF_CTG1		31699371	31699502
RNU6-391P	6	p22.3	24365651	24365754
SNORA38	CHR_HSCHR6_MHC_SSTO_CTG1		31613823	31613954
MIR4671	1	q42.2	234306467	234306539
SNORD115-30	15	q11.2	25225203	25225284
RF00026	20	q11.21	30713240	30713346
RF00019	2	p23.3	25008845	25008946
RF00019	17	q21.31	45071442	45071543
RN7SL681P	4	q22.1	87386883	87387174
MIR202	10	q26.3	133247511	133247620
RNA5SP522	Y	q11.222	18346123	18346238
RF00019	6	q15	87826173	87826285
RF00019	3	q28	191641135	191641237
RNU6-1128P	22	q12.2	31222745	31222853
MIR4423	1	p22.3	85133794	85133873
RNU6-1190P	5	p13.2	37619985	37620088
RNU1-7P	1	p36.23	8206434	8206597
RF00066	1	q25.2	176217541	176217602
RNA5SP76	1	q41	219761789	219761875
RF00324	11	p15.2	15481808	15481893
SNORD50B	6	q14.3	85677589	85677658
RNU6-397P	8	p22	14487776	14487879
RF00019	8	q22.2	100185138	100185239
RNU6-1275P	2	q22.3	147877422	147877528
RN7SL18P	2	p15	62491178	62491468
RNA5SP133	3	p14.3	56185104	56185222
RF00026	9	q13	64082429	64082534
RF00019	9	q34.11	127832635	127832743
RNA5SP309	10	p11.22	31259599	31259704
RNU6-750P	1	p21.2	99978939	99979045
MIR6745	11	p11.2	47179611	47179737
MIR6833	6	p21.32	32179816	32179876
RF00019	CHR_HSCHR17_1_CTG5		45881211	45881312
RF00017	9	q22.33	98115885	98116135
RNU6-763P	2	q31.1	175022214	175022319
MIR4484	10	q26.2	125819740	125819822
RF00284	15	q25.3	86173198	86173270
MIR6083	3	q21.2	124374332	124374437
RNU6-1050P	18	q12.1	31937533	31937639
RNU11-2P	17	p12	12036496	12036637
RNU6-986P	2	p23.3	27475494	27475595
MIR1324	3	p12.3	75630763	75630858
AC012314.30	CHR_HSCHR19LRC_COX1_CTG3_1		54115536	54131896
RN7SL630P	12	q22	93831076	93831372
MIR1976	1	p36.11	26554542	26554593
RN7SL107P	8	q21.13	80613544	80613826
SNORD28B	6	q25.3	156378750	156378824
RF00017	1	p12	117243212	117243508
MIR6808	1	p36.33	1339650	1339708
SNORA67	17	p13.1	7577955	7578091
RF00096	18	q21.32	58818883	58819016
MIR548AD	2	p22.3	35471405	35471486
RNU6-484P	5	p13.2	37700331	37700437
RNU6-201P	22	q12.3	31837238	31837298
RNU6-657P	10	q23.33	94155639	94155745
AC011043.2	GL000195.1		173872	179372
VSTM1	CHR_HSCHR19LRC_COX2_CTG3_1		54040833	54063953
MIR6792	19	p13.2	7617439	7617505
RF00017	17	q21.31	43607436	43607723
RNU2-18P	10	p13	16476003	16476164
RN7SL615P	20	q12	41290280	41290577
RNU6-663P	8	p12	32911493	32911598
RNU6-478P	10	q23.1	83067962	83068071
MIR3935	16	q13	56245520	56245623
MT-TF	MT		577	647
MT-RNR1	MT		648	1601
MT-TV	MT		1602	1670
MT-RNR2	MT		1671	3229
MT-TL1	MT		3230	3304
MT-ND1	MT		3307	4262
MT-TI	MT		4263	4331
MT-TQ	MT		4329	4400
MT-TM	MT		4402	4469
MT-ND2	MT		4470	5511
MT-TW	MT		5512	5579
MT-TA	MT		5587	5655
MT-TN	MT		5657	5729
MT-TC	MT		5761	5826
MT-TY	MT		5826	5891
MT-CO1	MT		5904	7445
MT-TS1	MT		7446	7514
MT-TD	MT		7518	7585
MT-CO2	MT		7586	8269
MT-TK	MT		8295	8364
SNORA64	16	p13.3	1962973	1963106
MIR3609	7	q22.1	98881650	98881729
RNA5SP443	17	q21.31	45327366	45327497
MT-ATP8	MT		8366	8572
RF00273	2	q32.3	194664107	194664174
RNU6-729P	8	p23.1	10476223	10476329
MT-ATP6	MT		8527	9207
MIR3680-1	16	p12.2	21506049	21506135
RN7SL795P	18	q22.2	70512727	70513008
RF02271	5	q32	146510116	146510271
MT-CO3	MT		9207	9990
RN7SKP135	8	q12.3	63609354	63609600
MT-TG	MT		9991	10058
MT-ND3	MT		10059	10404
MT-TR	MT		10405	10469
MT-ND4L	MT		10470	10766
MIR7853	6	p25.1	6169304	6169435
RNA5SP187	5	q14.3	88274258	88274376
MIR145	5	q32	149430646	149430733
MT-ND4	MT		10760	12137
MIR6820	22	q13.1	37967563	37967624
RF02139	7	p15.2	27186166	27186263
MT-TH	MT		12138	12206
RDH13	CHR_HSCHR19LRC_LRC_S_CTG3_1		55052029	55070922
RNU2-66P	4	q32.1	154787118	154787278
MT-TS2	MT		12207	12265
MT-TL2	MT		12266	12336
MIR3913-1	12	q15	69584722	69584823
RF00599	2	q32.1	183064235	183064346
MT-ND5	MT		12337	14148
RF02138	7	p15.2	27185832	27186018
RN7SKP191	9	q31.1	105096756	105097061
MT-ND6	MT		14149	14673
RNA5SP341	11	q12.1	57450183	57450299
MIR6069	22	q12.3	35336721	35336799
MT-TE	MT		14674	14742
RF00019	X	q24	118569405	118569515
MT-CYB	MT		14747	15887
RNU1-140P	5	q21.2	104098874	104099038
RNU6-917P	20	p13	1529056	1529159
MT-TT	MT		15888	15953
RNU6-1334P	Y	p11.2	2784749	2784853
MT-TP	MT		15956	16023
MIR6716	11	q23.3	118644000	118644079
RN7SKP1	13	q13.3	37166352	37166658
RNA5SP280	9	p21.2	27198287	27198401
RF00019	4	q21.21	78632273	78632385
RNU4-63P	2	p21	41871271	41871388
RF00019	10	p11.21	34201979	34202074
RF00026	15	q11.2	21428879	21428985
RF00019	15	q13.2	30355436	30355540
MIR518F	19	q13.42	53700015	53700101
RN7SL509P	6	q16.1	96914699	96914995
RF00264	X	q23	115545637	115545717
RF00017	22	q11.23	23132730	23133005
RF00019	6	q14.3	85777639	85777755
RF00012	1	q23.3	163923670	163923873
RN7SL62P	1	p32.3	52714399	52714695
RNU6-1296P	5	q11.1	51167541	51167647
RNU6-1322P	7	q22.3	105332790	105332896
MIR3529	15	q26.1	88611847	88611924
